h,beta,se,lb,ub,nobs,shock,outcome,outcome_label,specification
0,1.02480093644345,1.39634063252874,-1.27197501743115,3.32157689031805,137,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
1,0.139913469413838,2.30352730955372,-3.64905178048736,3.92887871931504,136,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
2,-1.15436862828401,2.37305231506718,-5.05769233566785,2.74895507909984,135,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
3,1.1741763099333,2.69219178770048,-3.2540851165148,5.60243773638141,134,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
4,2.08083114230927,2.80879739941445,-2.53922944748945,6.70089173210799,133,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
5,4.7733361217629,3.10356952559561,-0.3315814689091,9.87825371243489,132,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
6,4.68706761980834,4.3964402882179,-2.54443313394244,11.9185683735591,131,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
7,3.8060030892955,4.57477906595564,-3.71883884984331,11.3308450284343,130,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
8,0.865178792906174,4.29146449644335,-6.19365214900215,7.9240097348145,129,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
9,0.0926485586430176,3.54317903593327,-5.73536232955024,5.92065944683628,128,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
10,-3.05916518853435,3.17739094540261,-8.28550820932261,2.16717783225391,127,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
11,-6.66746949447154,3.09698359927377,-11.7615542003462,-1.57338478859686,126,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
12,-5.46356648362951,2.90026629710597,-10.2340800215494,-0.693052945709639,125,Russia,Real_WTI,WTI crude oil price,level_change_y_tph_minus_y_tm1
0,0.84131716919683,0.917211890694778,-0.667362135895494,2.34999647428915,137,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
1,0.682746355115397,1.34594853011055,-1.53114196632695,2.89663467655775,136,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
2,-0.293328468207419,1.31804985426175,-2.46132755149271,1.87467061507788,135,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
3,0.185376995062649,1.47009453941803,-2.23271334006065,2.60346733018595,134,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
4,0.625786683371365,1.4764537069468,-1.80276355152602,3.05433691826875,133,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
5,1.81858198454837,1.4880805792311,-0.629092753395941,4.26625672249269,132,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
6,1.79641667769797,2.01404196827536,-1.51638755865224,5.10922091404818,131,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
7,1.46107359957714,2.27057544335108,-2.27369065368582,5.19583785284011,130,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
8,-0.378850091396981,2.3060830221697,-4.17201911446402,3.41431893167006,129,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
9,-1.33903592786441,2.06872944787131,-4.74179306337684,2.06372120764803,128,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
10,-2.58408347194306,2.06339836110028,-5.97807175004457,0.80990480615846,127,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
11,-4.83593448681979,2.1346684394385,-8.34715161176904,-1.32471736187054,126,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
12,-4.45731009100216,2.00361642647253,-7.75296583710504,-1.16165434489927,125,Russia,Real_Gasoline,Gasoline price,level_change_y_tph_minus_y_tm1
0,-0.116919652483319,0.146184766713734,-0.357372196217459,0.123532891250821,137,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
1,-0.212993675024155,0.199555300943554,-0.541232935558552,0.115245585510242,136,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
2,-0.30992036645841,0.225894931432384,-0.681484463734921,0.0616437308181008,135,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
3,-0.59435545377559,0.271365892478385,-1.04071262624958,-0.147998281301596,134,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
4,-0.792009460690648,0.319751842501581,-1.31795443855379,-0.266064482827507,133,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
5,-1.08455506002536,0.366552265951748,-1.68747988414337,-0.481630235907341,132,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
6,-0.924640236805275,0.372979555136993,-1.5381370108511,-0.311143462759445,131,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
7,-0.709179920179348,0.299687883679904,-1.20212262260365,-0.216237217755047,130,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
8,-0.504947233077595,0.342891493749532,-1.06895355022232,0.0590590840671298,129,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
9,-0.260650819267412,0.300707331744646,-0.755270364538493,0.233968726003669,128,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
10,0.178178911645192,0.297788499684367,-0.311639582125076,0.66799740541546,127,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
11,0.439872926645689,0.28012026777317,-0.0208839117836265,0.900629765075005,126,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
12,0.508689675114524,0.228290187376299,0.133185732411188,0.88419361781786,125,Russia,inv_OECD,OECD inventory,level_change_y_tph_minus_y_tm1
0,-0.439738079539728,0.218806400535404,-0.799642581060585,-0.0798335780188714,137,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
1,-0.460056410355974,0.300529911707224,-0.954384125635008,0.03427130492306,136,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
2,-0.728578418566459,0.36193169960842,-1.32390308737608,-0.133253749756839,135,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
3,-1.26169652811938,0.431019328090861,-1.97066023321582,-0.552732823022943,134,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
4,-1.10544478999707,0.484270694947822,-1.9019991990083,-0.308890380985832,133,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
5,-1.51108105139139,0.537588794876707,-2.39533593045281,-0.626826172329968,132,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
6,-1.68690994427276,0.564414462773161,-2.61528912046906,-0.758530768076458,131,Russia,inv_USA,U.S. inventory,level_change_y_tph_minus_y_tm1
