h,beta_gpr,se_gpr,lb_gpr,ub_gpr,beta_event,se_event,lb_event,ub_event,nobs,impulse,outcome,outcome_label,specification,gpr_test_series
9,0.528869942516893,0.219827347225225,0.167286133130361,0.890453751903426,0.636851630268442,0.479874915601968,-0.152472365142486,1.42617562567937,131,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
10,0.471144861385688,0.247997160699311,0.0632258321357589,0.879063890635616,0.619800943578878,0.48547010299828,-0.178726316114348,1.4183282032721,130,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
11,0.490403500182279,0.284158133282199,0.0230049640252949,0.957802036339263,0.72580665293792,0.4531051888821,-0.0194850603853338,1.47109836626117,129,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
12,0.311716820281304,0.309424848930923,-0.197241764751637,0.820675405314245,0.645165982704452,0.31953634916712,0.119575459834083,1.17075650557482,128,n_OilSpecificThreatShock_EventOnset,WorldCP,World crude-oil production,gpr_plus_poisson_event_residual_level_lp,World
0,-0.491814367461355,1.34493587563274,-2.70403702051303,1.72040828559032,1.79518767451681,2.07560359877741,-1.61887643304575,5.20925178207936,140,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
1,-1.66618167363911,1.95499416463803,-4.88186091601293,1.54949756873471,1.60352454598643,2.26641067023423,-2.12438926510986,5.33143835708271,139,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
2,-0.953167746999177,1.83396944822091,-3.96977904562353,2.06344355162518,2.36881530999687,2.62644109607795,-1.95129585286135,6.6889264728551,138,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
3,2.61644235573962,2.28346855284787,-1.13952917544183,6.37241388692106,3.6564931480218,3.37366573577513,-1.89269317358983,9.20567946963342,137,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
4,3.54730386276573,3.23511960743619,-1.77399435714751,8.86860208267897,4.06624316866054,3.49262239015438,-1.67860943735681,9.8110957746779,136,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
5,6.10789580750977,3.57852552353215,0.2217451209895,11.99404649403,4.58813259858324,3.61582598005003,-1.35937187912741,10.5356370762939,135,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
6,4.87275893185851,3.43322412949022,-0.774392229670801,10.5199100933878,0.636197012190165,3.53203944698634,-5.17349088272099,6.44588490710132,134,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
7,4.45427366155205,3.95704756073879,-2.05449037074862,10.9630376938527,0.838384537206368,4.0399251419701,-5.80670098517559,7.48347005958833,133,n_OilSpecificRealizedShock_EventOnset,Real_Brent,Brent crude oil price,gpr_plus_poisson_event_residual_level_lp,World
